Carrier,Score,Latency (ms),Download (Bps),Upload (Bps),Browser Speed (ms),Date,Latitude,Longitude,Timestamp
iusacell,121,1550.9,120900.729389229,107110.574283518,1077,2013-02-05 01:32:24,32.499608,-116.880908,92
rogers,265,196.5,1674816.90140845,942925.084581924,1467.5,2013-02-05 01:24:37,43.662189,-79.367455,84
sprint,155,1676.3,115710.671423938,41129.8463095313,544,2013-02-05 01:21:13,36.1062134151,-86.6727522389,81
iusacell,84,1356.4,121523.882873943,70810.9324525426,2383.5,2013-02-05 01:16:31,32.499608,-116.880908,76
iusacell,115,1416.8,108573.878523224,117291.649131245,1252,2013-02-05 01:11:15,32.499608,-116.880908,71
t-mobile,373,83,4969671.71411266,591364.65595635,1235.5,2013-02-05 01:10:26,36.0260503,-78.9162439,70
verizon,518,128.6,3758556.11543747,2339223.02158273,646.5,2013-02-05 01:08:59,41.3226779,-81.5130114,68
globe-telecom,284,482.4,1707225.96754057,618159.69581749,396.5,2013-02-05 00:43:38,14.6040946,120.9672769,43
t-mobile,332,389.1,1007110.34736713,1603050.1232539,694.5,2013-02-05 00:18:55,39.9811596,-83.1005664,18
iusacell,168,331.5,787496.688741722,327774.193548387,1396,2013-02-05 00:16:29,18.9390529,-99.2286422,16
telcel,432,165.3,2325000.85009918,847853.976531943,193,2013-02-05 00:13:32,18.9409179529,-99.214320518,13
verizon,417,124,2815692.5188744,1479084.15466262,633.5,2013-02-05 00:08:23,30.3999385,-86.5880483,8
verizon,432,133,3232832.15130024,847853.976531943,258.5,2013-02-05 00:00:32,31.694407348,-102.3539323272,0
verizon,496,92.1,4759238.97911833,1447264.09495549,513.5,2013-02-04 23:52:48,41.6078468,-87.337255,1432
sasktel,274,156.3,3709280.28933092,629732.730794061,2082,2013-02-04 23:51:44,52.1385154724,-106.5793228149,1431
sasktel,308,144.5,4295773.82198953,634030.549236269,1376,2013-02-04 23:51:15,52.1405472514,-106.5794120171,1431
bell,107,731.6,993452.960406829,55054.5208262784,2468.5,2013-02-04 23:23:25,-0.19176,-78.49737,1403
t-mobile,205,245.4,1995361.86770428,503201.444415786,2009,2013-02-04 23:18:19,40.6859,-73.40844,1398
o2,174,809.4,1564035.07434236,151621.356959664,822,2013-02-04 22:59:15,54.53256,-6.04829,1379
o2,163,371.3,1382231.80592992,383057.529943059,2276.5,2013-02-04 22:16:16,55.12324,-1.5176,1336
rogers,70,3025.5,38600.1637169391,7700.9785539192,2606,2013-02-04 22:04:23,43.1316308545,-80.3280169273,1324
sprint,463,158.4,2157488.29871154,2109094.05405405,524,2013-02-04 22:01:48,40.4558998,-79.9379712,1321
verizon,365,164.4,2258444.26094137,1286032.95978906,661.5,2013-02-04 21:51:13,33.7401611,-116.4090645,1311
verizon,150,258.9,693628.201876744,109811.550151976,1507,2013-02-04 21:35:15,37.8500917,-76.3639041,1295
free-mobile,277,155.3,784860.149225177,743771.254288982,738,2013-02-04 21:30:04,45.9061175,6.8421669,1290
telus,264,191.9,2499978.06215722,628920.696324952,1135,2013-02-04 21:15:02,54.0159936921,-124.0013198464,1275
sprint,264,253.9,1233267.39816624,646854.111405836,612,2013-02-04 21:11:49,41.5684042,-71.6651088,1271
sprint,230,328.2,1317214.32011559,542070.575159767,770.5,2013-02-04 21:10:52,41.5684042,-71.6651088,1270
sprint,248,140.5,1464642.62763299,608139.650872818,1455,2013-02-04 21:10:02,41.562738,-71.656871,1270
sprint,176,729.7,174413.366494484,14939.2143349414,443,2013-02-04 20:49:51,40.4304755764,-120.6576399635,1249
att,145,432.1,548861.328516958,226428.969359331,1444,2013-02-04 20:46:38,37.2851409912,-87.1320114136,1246
verizon,413,139.7,2833193.37016575,1461357.30337079,584.5,2013-02-04 20:37:53,30.1510582,-91.9884751,1237
verizon,907,62.1,5495598.12458138,3965268.29268293,194,2013-02-04 20:31:02,32.3582994702,-86.1705397814,1231
sprint,229,499.2,285200.319788661,428583.479789104,433.5,2013-02-04 20:20:24,45.0649985578,-93.3083585557,1220
verizon,204,221.3,905621.19205298,593162.663423533,1659.5,2013-02-04 20:16:21,47.1895776,-122.3072398,1216
virgin-mobile-uk,238,201,331191.087430371,884366.273798731,1291,2013-02-04 20:09:16,52.5288912833,-1.4759931833,1209
tim-italy,254,261.9,996106.349399053,830175.319148936,865.5,2013-02-04 19:56:57,46.099417088,13.0993164995,1196
t-mobile-uk,156,566,2452160.19127316,157192.168237854,2111.5,2013-02-04 19:56:10,51.45834,-0.198454,1196
verizon,689,99.2,4803822.01405152,3592839.77900552,630,2013-02-04 19:42:05,37.2389521,-80.4215538,1182
verizon,194,210.3,339664.182811724,471462.542290962,1313,2013-02-04 19:30:48,34.6135766,-85.9103533,1170
verizon,189,247.2,269084.61235734,514616.723819573,1294,2013-02-04 19:27:22,34.6135766,-85.9103533,1167
megafon,167,334.2,843954.74182267,425313.276651406,1878.5,2013-02-04 19:26:20,55.7988084,37.6486099,1166
att,98,773.1,279602.249105469,103113.742071882,2361,2013-02-04 19:12:52,40.87481,-85.50691,1152
three,190,391.6,1730632.35604303,21931.4484851891,690,2013-02-04 19:11:38,51.4646067,-0.1612449,1151
verizon,361,125.7,3738008.20045558,685251.844046365,590.5,2013-02-04 18:58:26,33.0487491,-96.7934717,1138
verizon,401,123.5,3870249.05660377,1013460.77922078,554,2013-02-04 18:56:11,33.0487491,-96.7934717,1136
verizon,341,121.1,3855699.2481203,467060.569786929,617.5,2013-02-04 18:54:28,33.0487491,-96.7934717,1134
t-mobile,325,148.7,3428720.43460092,791766.233766234,916,2013-02-04 18:54:08,25.985076,-80.1208992,1134
vodafone-romania,139,247.8,186891.895585623,202146.09884986,1979.5,2013-02-04 18:13:07,44.931388855,25.991060257,1093
t-mobile,495,68.8,4712767.3750718,1166813.39712919,576.5,2013-02-04 18:06:55,40.137405,-74.8602015,1086
vodafone,102,620.3,828027.853466545,72800.6567654303,2887,2013-02-04 18:00:25,21.15367,72.77514,1080
vodafone,111,521.9,824947.516589584,96685.1025869759,2531.5,2013-02-04 17:57:28,21.15367,72.77514,1077
mts-russia,160,396,762114.805870333,387470.109235353,1701.5,2013-02-04 17:55:33,56.60844,84.854744,1075
airtel-india,223,503.5,743402.011416146,282945.902828136,434,2013-02-04 17:49:21,11.6504824,78.1527672,1069
bell,468,72.7,5345229.96742671,1348246.02626123,1431,2013-02-04 17:48:12,42.1859744,-82.5528099,1068
virgin-mobile-uk,361,191.4,419667.945373638,683331.698774081,204.5,2013-02-04 17:47:10,51.2266130765,-1.4759167711,1067
vodafone-d2,310,401.4,1229571.10744792,1050571.8901454,460.5,2013-02-04 17:42:00,54.4494169012,9.837310137,1062
telcel,266,497.9,1585493.33333333,56112.2871606075,257.5,2013-02-04 17:36:13,19.9304019214,-103.7891548925,1056
vodafone-romania,136,416.1,1481301.31792742,229411.100658514,3212.5,2013-02-04 17:29:04,46.5238055,24.6011463,1049
vodafone,129,518.9,1220426.59526997,119008.845238821,2012.5,2013-02-04 17:22:07,46.16765,14.30623,1042
wataniya-telecom,132,2832.2,174520.951206024,131631.603805411,891.5,2013-02-04 17:16:50,29.2411082067,48.0778860134,1036
airtel-india,228,634.3,960539.452118942,568613.232293792,596.5,2013-02-04 17:11:20,22.62724,88.347453,1031
orange-spain,110,330.4,118150.017999856,28154.5322038301,1990,2013-02-04 16:42:27,41.6536423,-0.8922826,1002
verizon,456,114.7,3877565.2173913,1573316.12903226,619,2013-02-04 16:29:30,40.203972,-82.5682341,989
orange,282,249.4,1809245.4244763,999442.62295082,984.5,2013-02-04 16:28:39,50.8507934102,-0.9846371199,988
verizon,447,112.5,4907253.58851675,1638045.34005038,1197,2013-02-04 16:24:10,39.5381509,-104.8759648,984
ais,224,525.5,798999.707858604,508977.824158623,580,2013-02-04 16:22:05,13.686612295,100.6486277004,982
vodafone,112,586.2,962680.746216121,49251.7734972609,2181.5,2013-02-04 16:20:14,55.84836,-4.22109,980
three,186,391.6,1330888.56447689,55993.111761667,686,2013-02-04 16:13:30,51.5159761,-0.1194535,973
virgin-mobile-uk,327,526,4659243.61158433,1462452.77361319,2360,2013-02-04 15:25:58,53.02604,-2.22913,925
wind,244,283.5,1888360.87456847,288981.187972152,553.5,2013-02-04 15:15:45,43.64627,-79.38583,915
t-mobile-hungary,296,162,4082053.73134328,511647.521636507,1079,2013-02-04 14:45:34,47.6874282,17.6329831,885
sprint,181,226.7,1196053.64431487,557562.732209203,3403.5,2013-02-04 14:43:06,38.3978624,-78.8156307,883
vodafone,133,568.4,1336089.88764045,139690.104539596,2012,2013-02-04 14:42:37,45.75731,21.20936,882
sprint,187,251.3,1443005.27611678,626698.361708962,3662,2013-02-04 14:39:57,38.3978624,-78.8156307,879
verizon,755,75.5,6028602.49816312,2717147.63231198,210.5,2013-02-04 14:39:08,33.1949243881,-87.5278220327,879
orange-france,145,293.6,1202892.24453892,280222.924446998,3236.5,2013-02-04 14:34:00,43.6002381,2.2489154,874
vodafone,87,2010.3,290234.453484259,69588.4430176565,2336,2013-02-04 14:32:35,-26.1046872443,27.8341028977,872
mts,390,135.8,2358415.63667721,1217038.05364941,512,2013-02-04 14:31:10,49.86805,-97.2379,871
vodafone,140,494.1,1475175.8360302,178393.562545721,2116,2013-02-04 14:26:14,41.17922,-8.68626,866
wind,242,178.1,2596496.20253165,223625.859697386,888.5,2013-02-04 14:26:10,43.6441188,-79.4283075,866
vodafone,94,974.7,259624.972312755,54373.2441471572,2008.5,2013-02-04 14:12:40,28.3983812165,77.3094430103,852
t-mobile,261,199.1,1489097.64065336,507125.552378477,661.5,2013-02-04 14:05:33,30.2430505,-81.550776,845
t-mobile,328,146.8,1207672.6523403,1036065.85236325,636.5,2013-02-04 14:04:58,30.2430505,-81.550776,844
vodafone-india,122,694.9,152233.482383064,93488.2116158712,1211,2013-02-04 13:58:26,30.86976806,75.99094989,838
three,458,186.1,2599787.07224335,1193218.34862385,204.5,2013-02-04 13:38:01,53.3599978041,-1.4821630179,818
verizon,932,70.3,5387346.02757715,4495188.94009217,207,2013-02-04 13:20:51,35.7296660411,-78.8526305751,800
t-mobile,286,171.9,530925.844441568,1338074.07407407,1604.5,2013-02-04 13:17:38,33.0846443176,-96.6550521851,797
t-mobile,325,123.6,1489908.84329036,1251386.78640154,1409,2013-02-04 13:10:49,33.0846443176,-96.6550521851,790
t-mobile,278,154.8,776393.641180924,1082036.60565724,1412.5,2013-02-04 13:09:20,33.0846443176,-96.6550521851,789
t-mobile,315,141.1,752607.594936709,1400511.12706389,1414.5,2013-02-04 13:08:22,33.0846443176,-96.6550521851,788
t-mobile,221,379.1,1412451.02427268,789203.883495146,1426,2013-02-04 13:07:05,33.0846443176,-96.6550521851,787
cell-c,108,545.4,519200.658102892,105952.968011731,2362,2013-02-04 12:46:49,-24.949869,28.36212,766
vodafone,178,718.4,598943.572523542,266445.233542748,714.5,2013-02-04 12:45:01,-29.10744,26.31123,765
airtel-india,147,764.9,133147.169076481,57538.842682711,714.5,2013-02-04 12:43:37,13.0703407,80.1832836,763
telkomsel,185,732.3,1519149.78707647,400105.004101723,1091.5,2013-02-04 12:35:46,-7.9335276,112.6569997,755
globe-telecom,215,531.6,374774.037363541,282822.847202088,429.5,2013-02-04 12:24:21,14.9575134,120.9162822,744
verizon,157,336.7,1013329.38125232,136589.792060492,1290,2013-02-04 12:10:44,40.1131854,-83.0073951,730
three-italy,112,427.2,246290.688599388,149083.906464924,2354.5,2013-02-04 12:00:19,38.139278,13.31606,720
dtac,183,581.1,201347.926380368,94402.0129681603,474.5,2013-02-04 11:56:47,15.72176,103.56524,716
orange,90,676.2,548971.497390606,28826.8096990115,2969.5,2013-02-04 11:02:40,-25.92243,28.20026,662
virgin-mobile-uk,487,104.1,911759.97333037,2367611.65048544,605,2013-02-04 10:59:06,53.3448305,-2.8924696,659
vodafone-australia,208,354.4,1087321.4948317,686215.969046782,1405.5,2013-02-04 10:18:46,-34.008125,150.870026,618
vodafone-australia,135,576.9,868338.23685046,105477.508650519,1387,2013-02-04 10:17:52,-34.005371,150.862228,617
vodafone-australia,182,432.7,995381.293218488,488827.862691055,1383.5,2013-02-04 10:06:59,-34.0090789795,150.8699798584,606
rogers,330,139.4,2816659.11431514,683092.43697479,616.5,2013-02-04 10:04:15,45.569768403,-73.8837119327,604
vodafone-australia,206,468.9,1121198.14156873,730131.736526946,1371,2013-02-04 10:03:27,-34.009079,150.86998,603
airtel-india,164,457.6,1109073.80373074,69117.5511939347,873.5,2013-02-04 09:46:39,12.9683107,77.6208441,586
virgin-mobile-uk,405,112.8,4382974.35897436,1223909.66122961,992.5,2013-02-04 08:35:38,55.0170855,-1.4546519,515
vodafone-romania,251,313.1,2050206.89655172,1038271.4209686,2023,2013-02-04 08:25:17,44.4336805344,26.0787391663,505
dtac,185,601.2,208109.572363415,98030.8527209688,470.5,2013-02-04 08:04:11,15.72176,103.56524,484
e-plus,263,294.6,1980431.57132513,337878.766886041,464,2013-02-04 07:49:53,50.4931604,12.1454111,469
sasktel,371,387,3004367.63090443,854913.234005259,277.5,2013-02-04 07:06:27,50.4476249162,-104.5598769366,426
sasktel,434,146.4,3113824.66793169,907823.173569102,244,2013-02-04 07:00:26,50.4456674612,-104.5624226592,420
sasktel,494,130.6,3464918.91891892,1337156.95681974,242,2013-02-04 06:59:02,50.4464841583,-104.5606477693,419
sasktel,363,139,3165481.48148148,197961.643835616,257,2013-02-04 06:57:10,50.4451216496,-104.5629201981,417
three-indonesia,126,365.6,501033.707865169,255589.152364732,2784.5,2013-02-04 06:51:27,-6.5257847,106.8135709,411
singtel,231,561.4,816004.773744406,392143.115577889,446,2013-02-04 06:48:12,1.4570025,103.819795,408
vodafone,147,555.3,1291911.19508739,268240.340987213,1934.5,2013-02-04 06:11:36,-34.05069,18.50246,371
t-mobile,579,114.1,7777182.93838863,1948963.03696304,563,2013-02-04 05:10:32,42.6274295,-83.113849,310
t-mobile,534,128.6,7740498.11320755,1883119.69111969,875,2013-02-04 05:08:18,42.6274295,-83.113849,308
rogers,344,187.1,2213957.90609822,754996.904024768,375.5,2013-02-04 04:58:14,53.5404653,-113.5174517,298
t-mobile,416,130.5,3450348.19175778,1506495.75289575,788.5,2013-02-04 04:54:04,30.27086,-81.5531386,294
wind,112,417.5,831552.447552448,30599.1812663708,2391,2013-02-04 04:44:07,43.66159,-79.51874,284
wind,113,390.2,671379.428851976,51480.6839772008,2358,2013-02-04 04:40:56,43.66159,-79.51874,280
t-mobile,270,140.4,2787000,684050.490883591,1992,2013-02-04 04:36:56,30.230231,-97.7444078,276
wind,166,622.4,1416352.14914552,53483.3456698742,815.5,2013-02-04 04:32:32,43.65933,-79.51715,272
wind,136,645.4,897007.543456871,17803.5407921153,1094,2013-02-04 04:31:23,43.65933,-79.51715,271
wind,186,594.5,1444529.57746479,58907.9050667311,616,2013-02-04 04:25:39,43.65933,-79.51715,265
singtel,233,494.3,774561.314075333,376405.942504341,432,2013-02-04 04:16:30,1.3745583883,103.7554646428,256
rogers,567,67.9,5924135.7400722,1552038.18615752,517.5,2013-02-04 03:09:23,43.67611769,-79.80241664,189
t-mobile,263,118.5,1705097.25685786,638596.399345335,1687,2013-02-04 03:08:14,40.0524562,-75.0557959,188
globe-telecom,215,303.7,1719029.54116908,720425.40620384,1922.5,2013-02-04 03:05:03,14.58659,121.173,185
verizon,191,331.5,312390.17704169,190184.441411581,601.5,2013-02-04 03:00:05,30.5233285097,-85.1814844401,180
telcel,304,401.5,1969025.19798416,825258.883248731,449,2013-02-04 02:40:13,20.6003062165,-100.3710156831,160
sasktel,364,136.7,4233708.97832817,623294.568690096,533,2013-02-04 02:23:14,50.4772787,-104.6855902,143
sasktel,393,94.9,4184053.03416624,627302.893890675,557,2013-02-04 02:21:46,50.4772626,-104.6856242,141
verizon,394,366.3,2742288.77005348,1794767.24931003,626.5,2013-02-04 02:20:33,40.1616946,-75.8915226,140
verizon,676,143.2,6532585.98726115,3515156.75675676,731.5,2013-02-04 02:19:22,40.1616946,-75.8915226,139
verizon,485,74.2,5157088.62350723,1121213.79310345,606.5,2013-02-04 02:19:07,40.1616946,-75.8915226,139
t-mobile,234,260.5,1079453.75608473,486148.01893845,712,2013-02-04 02:18:33,30.2672406,-81.54957,138
verizon,618,85.1,4420758.62068965,2783041.36947218,622,2013-02-04 02:17:32,40.1616946,-75.8915226,137
virgin-mobile-uk,485,104.8,2659620.09724473,2106816.41468683,695.5,2013-02-04 01:02:21,51.3727969,-0.0194404,62
telus,157,308.3,1714002.08899102,204970.792183232,2208,2013-02-04 00:59:32,49.88781,-97.17329,59
telus,524,212,3389065.67534077,2457068.01007557,419.5,2013-02-04 00:26:49,50.9872632539,-114.0584150613,26
verizon,202,270.2,1426695.87897757,385479.549496147,1182,2013-02-04 00:25:31,30.1585640386,-93.7481983379,25
rogers,299,202.1,2234457.51633987,659760.568143389,574,2013-02-04 00:16:34,49.2481578,-124.0964156,16
vodafone-egypt,435,230.4,2125629.01554404,1259465.46158812,223.5,2013-02-03 23:42:26,30.5556803432,32.2947548558,1422
orange-france,306,194.8,1092242.8115016,1073699.50467804,704.5,2013-02-03 23:16:58,50.3420332,3.5318243,1396
vodafone,186,833.1,1282220.34692921,283315.713040953,773,2013-02-03 23:06:43,-25.88257,28.35901,1386
vodafone-romania,266,820.6,1363624.3975403,1096017.97752809,815,2013-02-03 23:00:17,47.6505711,23.5687624,1380
vodafone-italy,356,202.5,2911613.91057488,1079044.24778761,558,2013-02-03 22:38:25,45.6092331,8.8393566,1358
vodafone-italy,311,196.8,2293160.42481833,733977.426636569,560,2013-02-03 22:36:56,45.6092331,8.8393566,1356
vodafone-italy,396,210.7,2810869.47584789,1252189.98716303,395,2013-02-03 22:35:21,45.6092331,8.8393566,1355
virgin-mobile-uk,312,201.5,1441484.1883345,1335326.48870637,1141.5,2013-02-03 22:35:06,50.5353986341,-3.6314505412,1355
vodafone-italy,345,217.8,2615533.31208161,821436.631578947,408,2013-02-03 22:33:29,45.6062276,8.8344323,1353
virgin-mobile-uk,315,211.6,1998277.64247443,1163334.52593918,881.5,2013-02-03 22:30:53,55.7766732558,-4.0761854826,1350
o2,122,644.8,52463.5245823023,7427.772976307,1024.5,2013-02-03 22:23:22,53.07581,-3.00213,1343
o2,99,5229.6,883200,173661.385081004,2914,2013-02-03 22:19:03,-15.43475,28.30399,1339
vodafone,526,203.9,3981042.21251819,1670301.36986301,210,2013-02-03 22:05:45,55.8645242789,-4.2729728851,1325
vodafone-italy,271,206.5,2222955.29666757,392064.308681672,564.5,2013-02-03 22:05:34,45.7779535,9.1817706,1325
verizon,524,90.2,5222742.20241884,973508.982035928,248,2013-02-03 21:42:44,31.3533295366,-83.6078455637,1302
rogers,458,98.3,2887026.03800141,1381665.7223796,436,2013-02-03 21:41:13,43.7345360931,-79.7628696595,1301
vodafone-australia,314,374.6,598288.464343007,420545.807286053,204,2013-02-03 21:29:40,-35.2523840173,149.0448209738,1289
sprint,153,519.9,766314.373774166,129071.253721469,986,2013-02-03 21:25:47,33.6045586,-84.8897544,1285
three-italy,173,411.6,117958.078150608,354196.078431373,889,2013-02-03 21:05:50,41.1158886,16.8748822,1265
t-mobile,213,222.1,1033366.24685139,476180.619965829,1125.5,2013-02-03 20:57:46,39.7626935,-105.0013892,1257
rogers,610,124.6,3892280.83491461,2170091.21245829,200.5,2013-02-03 20:54:46,51.0393554019,-114.0883847327,1254
rogers,582,123.6,3252052.31866825,2062274.84143763,210,2013-02-03 20:54:30,51.0394412724,-114.0872748879,1254
t-mobile,290,133.1,3434461.28087066,494778.594978443,1182,2013-02-03 20:53:13,39.7626935,-105.0013892,1253
verizon,319,210.7,2144518.55723994,1284339.69716919,1091.5,2013-02-03 20:52:54,33.4277721,-112.3350455,1252
virgin-mobile-uk,252,220.8,739449.170872386,873673.085535154,1006.5,2013-02-03 19:39:37,53.759433987,-2.3833578636,1179
t-mobile-croatia,285,313.3,272037.664533669,99597.3044721258,196,2013-02-03 19:37:56,44.1369243254,15.2397458911,1177
turkcell,264,424.9,347475.034938381,141853.559223442,231,2013-02-03 19:33:41,37.0696922775,37.3608710821,1173
turkcell,254,343.3,1504939.10491563,566796.048808832,585,2013-02-03 19:31:56,37.8689557,32.4701721,1171
t-mobile,115,365.6,58546.8271693913,26620.5277952133,1559.5,2013-02-03 19:18:56,26.2024735,-97.6755218,1158
verizon,544,77.7,1847540.6439991,2414495.04950495,590.5,2013-02-03 19:17:42,39.4947309,-76.3173077,1157
t-mobile-uk,291,181,2585043.47826087,302513.878120639,468,2013-02-03 19:17:19,53.4738455497,-1.571114045,1157
t-mobile-uk,309,244,1784067.84083496,801854.500616523,484,2013-02-03 19:17:11,51.6222066709,-3.4131672511,1157
orange,537,274.2,5099395.89807334,1603050.1232539,194,2013-02-03 18:52:51,51.5658431325,-0.2862248395,1132
o2,132,631.8,1198149.53271028,194430.13753239,2112.5,2013-02-03 18:42:52,52.64125,-1.14983,1122
verizon,403,149.9,2869859.39139559,1623054.90848586,818,2013-02-03 18:42:44,33.9459029,-117.9675344,1122
